"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32998-9644","SG","James","James Harden","Harden","58.625","56","12400","HOU@GS","HOU","GS","GTD","Neck","","",""
"32998-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","56.18908913352273","55","12300","MIN@MIL","MIL","MIN","GTD","Knee","","",""
"32998-9642","PG","Russell","Russell Westbrook","Westbrook","55.10000191482843","51","11900","SAC@OKC","OKC","SAC","","","","",""
"32998-9488","SF","LeBron","LeBron James","James","50.86341225228659","41","11800","LAL@NO","LAL","NO","","","","",""
"32998-12341","SF","Paul","Paul George","George","50.21206980738147","58","11700","SAC@OKC","OKC","SAC","","","","",""
"32998-15557","C","Andre","Andre Drummond","Drummond","45.3370361328125","54","11200","DET@MIA","DET","MIA","","","","",""
"32998-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","47.14310429014009","58","10800","MIN@MIL","MIN","MIL","GTD","Concussion","","",""
"32998-9646","SF","Kevin","Kevin Durant","Durant","47.70847540386652","59","10400","HOU@GS","GS","HOU","","","","",""
"32998-14507","PG","Kemba","Kemba Walker","Walker","41.03389830508475","59","10000","BKN@CHA","CHA","BKN","","","","",""
"32998-15755","PF","Anthony","Anthony Davis","Davis","58.687235081449465","47","9900","LAL@NO","NO","LAL","O","Rest","","",""
"32998-15595","SG","Bradley","Bradley Beal","Beal","42.894999186197914","60","9800","IND@WAS","WAS","IND","","","","",""
"32998-14498","PG","Kyrie","Kyrie Irving","Irving","43.195920360331634","49","9600","BOS@CHI","BOS","CHI","","","","",""
"32998-9524","PG","Stephen","Stephen Curry","Curry","44.7124989827474","48","9500","HOU@GS","GS","HOU","","","","",""
"32998-9560","PF","Blake","Blake Griffin","Griffin","42.95356968470982","56","9300","DET@MIA","DET","MIA","","","","",""
"32998-58312","SG","D'Angelo","D'Angelo Russell","Russell","35.44666748046875","60","9100","BKN@CHA","BKN","CHA","","","","",""
"32998-9663","SG","Jrue","Jrue Holiday","Holiday","43.144999186197914","60","8900","LAL@NO","NO","LAL","","","","",""
"32998-80812","PF","Lauri","Lauri Markkanen","Markkanen","33.900001319679056","37","8700","BOS@CHI","CHI","BOS","","","","",""
"32998-84671","PG","Trae","Trae Young","Young","32.173333740234376","60","8500","PHO@ATL","ATL","PHO","","","","",""
"32998-58460","SG","Devin","Devin Booker","Booker","38.55555555555556","45","8200","PHO@ATL","PHO","ATL","","","","",""
"32998-9453","C","Al","Al Horford","Horford","32.910203583386476","49","8200","BOS@CHI","BOS","CHI","","","","",""
"32998-55059","C","Clint","Clint Capela","Capela","40.297675554142444","43","8100","HOU@GS","HOU","GS","","","","",""
"32998-9623","PG","Chris","Chris Paul","Paul","37.36285574776786","35","8000","HOU@GS","HOU","GS","","","","",""
"32998-42669","PF","Julius","Julius Randle","Randle","36.458491487323116","53","7900","LAL@NO","NO","LAL","","","","",""
"32998-40783","SG","Zach","Zach LaVine","LaVine","35.713461068960335","52","7900","BOS@CHI","CHI","BOS","","","","",""
"32998-12362","C","DeMarcus","DeMarcus Cousins","Cousins","32.833333333333336","12","7800","HOU@GS","GS","HOU","","","","",""
"32998-58253","C","Myles","Myles Turner","Turner","33.367924528301884","53","7800","IND@WAS","IND","WAS","O","Hip","","",""
"32998-9575","PG","Mike","Mike Conley","Conley","37.14035087719298","57","7700","MEM@CLE","MEM","CLE","","","","",""
"32998-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","28.557143853635203","49","7600","MEM@CLE","CLE","MEM","","","","",""
"32998-66236","PF","John","John Collins","Collins","33.111364191228695","44","7600","PHO@ATL","ATL","PHO","","","","",""
"32998-80806","PG","Lonzo","Lonzo Ball","Ball","27.865956407912233","47","7500","LAL@NO","LAL","NO","O","Ankle","","",""
"32998-84673","C","Deandre","Deandre Ayton","Ayton","35.2654541015625","55","7300","PHO@ATL","PHO","ATL","","","","",""
"32998-9446","PG","Jeff","Jeff Teague","Teague","29.611429268973215","35","7200","MIN@MIL","MIN","MIL","","","","",""
"32998-80810","PG","De'Aaron","De'Aaron Fox","Fox","36.11896383351293","58","7200","SAC@OKC","SAC","OKC","","","","",""
"32998-14509","SG","Klay","Klay Thompson","Thompson","33.83965433054957","58","7100","HOU@GS","GS","HOU","","","","",""
"32998-9538","SF","Trevor","Trevor Ariza","Ariza","28.676362748579546","55","7000","IND@WAS","WAS","IND","","","","",""
"32998-80808","PF","Jayson","Jayson Tatum","Tatum","31.44666748046875","60","7000","BOS@CHI","BOS","CHI","","","","",""
"32998-49116","SG","Andrew","Andrew Wiggins","Wiggins","30.551922137920673","52","7000","MIN@MIL","MIN","MIL","","","","",""
"32998-12363","C","Hassan","Hassan Whiteside","Whiteside","35.47647154564951","51","6900","DET@MIA","MIA","DET","","","","",""
"32998-42677","PG","Terry","Terry Rozier","Rozier","21.52930950296336","58","6900","BOS@CHI","BOS","CHI","","","","",""
"32998-23802","PG","Kris","Kris Dunn","Dunn","29.462499618530273","32","6900","BOS@CHI","CHI","BOS","","","","",""
"32998-58377","PF","Kyle","Kyle Kuzma","Kuzma","30.769091796875","55","6800","LAL@NO","LAL","NO","","","","",""
"32998-14503","C","Jonas","Jonas Valanciunas","Valanciunas","25.643749237060547","32","6800","MEM@CLE","MEM","CLE","","","","",""
"32998-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","28.37608801800272","46","6800","BOS@CHI","CHI","BOS","","","","",""
"32998-15860","PF","Draymond","Draymond Green","Green","32.43721043786337","43","6700","HOU@GS","GS","HOU","","","","",""
"32998-20491","SF","Robert","Robert Covington","Covington","30.9028564453125","35","6600","MIN@MIL","MIN","MIL","O","Ankle","","",""
"32998-42156","PF","Bobby","Bobby Portis","Portis","27.607408311631943","27","6600","IND@WAS","WAS","IND","","","","",""
"32998-14521","PF","Kenneth","Kenneth Faried","Faried","22.4239990234375","25","6500","HOU@GS","HOU","GS","","","","",""
"32998-15559","SG","Jeremy","Jeremy Lamb","Lamb","27.858180930397726","55","6500","BKN@CHA","CHA","BKN","","","","",""
"32998-58084","SF","Justise","Justise Winslow","Winslow","26.884615384615383","52","6500","DET@MIA","MIA","DET","O","Knee","","",""
"32998-66048","SF","Brandon","Brandon Ingram","Ingram","28.70212765957447","47","6400","LAL@NO","LAL","NO","","","","",""
"32998-23169","C","Steven","Steven Adams","Adams","34.182141985212056","56","6400","SAC@OKC","OKC","SAC","","","","",""
"32998-20640","SG","Jordan","Jordan Clarkson","Clarkson","26.037930192618536","58","6400","MEM@CLE","CLE","MEM","","","","",""
"32998-15691","C","Cody","Cody Zeller","Zeller","24.353658536585368","41","6400","BKN@CHA","CHA","BKN","","","","",""
"32998-16261","SG","Khris","Khris Middleton","Middleton","31.716070992606028","56","6400","MIN@MIL","MIL","MIN","","","","",""
"32998-12355","PG","Eric","Eric Bledsoe","Bledsoe","32.47719212582237","57","6300","MIN@MIL","MIL","MIN","","","","",""
"32998-23665","SG","Buddy","Buddy Hield","Hield","30.858621531519397","58","6300","SAC@OKC","SAC","OKC","","","","",""
"32998-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","27.779590840242346","49","6300","BKN@CHA","BKN","CHA","O","Thumb","","",""
